"from","to","width","title"
"PRX","CEACAM16",2,"PRX-CEACAM16<br />0.2137"
"RELB","CEACAM16",1,"RELB-CEACAM16<br />0.1218"
"RYR1","CEACAM16",3,"RYR1-CEACAM16<br />0.2587"
"U2AF1L4","CEACAM16",3,"U2AF1L4-CEACAM16<br />0.2574"
"WDR62","CEACAM16",2,"WDR62-CEACAM16<br />0.1741"
"WDR88","CEACAM16",2,"WDR88-CEACAM16<br />0.1984"
"ZFAND5","CEACAM16",2,"ZFAND5-CEACAM16<br />0.171"
"ZNF599","CEACAM16",3,"ZNF599-CEACAM16<br />0.2592"
"ZNF792","CEACAM16",2,"ZNF792-CEACAM16<br />0.1656"
"ZNF793","CEACAM16",3,"ZNF793-CEACAM16<br />0.3044"
"FAM98C","CHST8",2,"FAM98C-CHST8<br />0.2155"
"FFAR2","CHST8",3,"FFAR2-CHST8<br />0.3495"
"IGFLR1","CHST8",3,"IGFLR1-CHST8<br />0.2551"
"KMT2B","CHST8",3,"KMT2B-CHST8<br />0.2679"
"LGALS14","CHST8",3,"LGALS14-CHST8<br />0.2731"
"LIN37","CHST8",1,"LIN37-CHST8<br />0.1471"
"LSM14A","CHST8",2,"LSM14A-CHST8<br />0.189"
"MAG","CHST8",3,"MAG-CHST8<br />0.2967"
"NFKBIB","CHST8",2,"NFKBIB-CHST8<br />0.2176"
"PIAS1","CHST8",1,"PIAS1-CHST8<br />0.1078"
"PPP1R14A","CHST8",3,"PPP1R14A-CHST8<br />0.2642"
"PRODH2","CHST8",2,"PRODH2-CHST8<br />0.1793"
"PRX","CHST8",2,"PRX-CHST8<br />0.1878"
"RELB","CHST8",1,"RELB-CHST8<br />0.1251"
"RHPN2","CHST8",2,"RHPN2-CHST8<br />0.1746"
"RYR1","CHST8",4,"RYR1-CHST8<br />0.3544"
"U2AF1L4","CHST8",3,"U2AF1L4-CHST8<br />0.2865"
"WDR62","CHST8",2,"WDR62-CHST8<br />0.2084"
"WDR88","CHST8",4,"WDR88-CHST8<br />0.3633"
"ZFAND5","CHST8",2,"ZFAND5-CHST8<br />0.1811"
"ZNF599","CHST8",4,"ZNF599-CHST8<br />0.3882"
"ZNF792","CHST8",3,"ZNF792-CHST8<br />0.2593"
"ZNF793","CHST8",3,"ZNF793-CHST8<br />0.2768"
"PIAS1","DNAJB6",2,"PIAS1-DNAJB6<br />0.2227"
"FFAR2","FAM98C",3,"FFAR2-FAM98C<br />0.2773"
"IGFLR1","FAM98C",3,"IGFLR1-FAM98C<br />0.2877"
"LGALS14","FAM98C",2,"LGALS14-FAM98C<br />0.2228"
"LIN37","FAM98C",1,"LIN37-FAM98C<br />0.1314"
"LSM14A","FAM98C",2,"LSM14A-FAM98C<br />0.2272"
"MAG","FAM98C",2,"MAG-FAM98C<br />0.225"
"NFKBIB","FAM98C",2,"NFKBIB-FAM98C<br />0.1676"
"PPP1R14A","FAM98C",2,"PPP1R14A-FAM98C<br />0.2142"
"PRODH2","FAM98C",1,"PRODH2-FAM98C<br />0.1349"
"PRX","FAM98C",3,"PRX-FAM98C<br />0.3406"
"RELB","FAM98C",2,"RELB-FAM98C<br />0.1585"
"RHPN2","FAM98C",2,"RHPN2-FAM98C<br />0.1907"
"RYR1","FAM98C",4,"RYR1-FAM98C<br />0.3612"
"U2AF1L4","FAM98C",3,"U2AF1L4-FAM98C<br />0.2855"
"WDR62","FAM98C",3,"WDR62-FAM98C<br />0.2646"
"WDR88","FAM98C",2,"WDR88-FAM98C<br />0.2107"
"ZFAND5","FAM98C",2,"ZFAND5-FAM98C<br />0.2219"
"ZNF599","FAM98C",3,"ZNF599-FAM98C<br />0.2865"
"ZNF792","FAM98C",2,"ZNF792-FAM98C<br />0.2441"
"ZNF793","FAM98C",3,"ZNF793-FAM98C<br />0.3144"
"IGFLR1","FFAR2",3,"IGFLR1-FFAR2<br />0.3369"
"KMT2B","FFAR2",3,"KMT2B-FFAR2<br />0.258"
"LGALS14","FFAR2",4,"LGALS14-FFAR2<br />0.4131"
"LIN37","FFAR2",2,"LIN37-FFAR2<br />0.2123"
"LSM14A","FFAR2",2,"LSM14A-FFAR2<br />0.1698"
"MAG","FFAR2",4,"MAG-FFAR2<br />0.4159"
"NFKBIB","FFAR2",2,"NFKBIB-FFAR2<br />0.2084"
"NOP53","FFAR2",1,"NOP53-FFAR2<br />0.1202"
"PIAS1","FFAR2",1,"PIAS1-FFAR2<br />0.108"
"PPP1R14A","FFAR2",3,"PPP1R14A-FFAR2<br />0.293"
"PRODH2","FFAR2",3,"PRODH2-FFAR2<br />0.2682"
"PRX","FFAR2",2,"PRX-FFAR2<br />0.237"
"RHPN2","FFAR2",2,"RHPN2-FFAR2<br />0.2093"
"RYR1","FFAR2",3,"RYR1-FFAR2<br />0.3363"
"U2AF1L4","FFAR2",4,"U2AF1L4-FFAR2<br />0.364"
"WDR62","FFAR2",2,"WDR62-FFAR2<br />0.2225"
"WDR88","FFAR2",3,"WDR88-FFAR2<br />0.3269"
