"from","to","width","title"
"TMOD4","NUDT17",2,"TMOD4-NUDT17<br />0.1984"
"TNFAIP8L2","NUDT17",2,"TNFAIP8L2-NUDT17<br />0.2267"
"PYGO2","PIAS3",2,"PYGO2-PIAS3<br />0.1808"
"RFX5","PIAS3",3,"RFX5-PIAS3<br />0.2562"
"SELENBP1","PIAS3",4,"SELENBP1-PIAS3<br />0.4112"
"SV2A","PIAS3",3,"SV2A-PIAS3<br />0.3482"
"TMOD4","PIAS3",3,"TMOD4-PIAS3<br />0.2552"
"TNFAIP8L2","PIAS3",3,"TNFAIP8L2-PIAS3<br />0.2846"
"TPM3","PIAS3",1,"TPM3-PIAS3<br />0.1234"
"RFX5","PYGO2",2,"RFX5-PYGO2<br />0.1502"
"SELENBP1","PYGO2",3,"SELENBP1-PYGO2<br />0.2669"
"SV2A","PYGO2",3,"SV2A-PYGO2<br />0.3237"
"TMOD4","PYGO2",2,"TMOD4-PYGO2<br />0.2369"
"TNFAIP8L2","PYGO2",2,"TNFAIP8L2-PYGO2<br />0.2096"
"TPM3","PYGO2",2,"TPM3-PYGO2<br />0.1779"
"SELENBP1","RFX5",4,"SELENBP1-RFX5<br />0.45"
"SV2A","RFX5",3,"SV2A-RFX5<br />0.29"
"TMOD4","RFX5",3,"TMOD4-RFX5<br />0.3148"
"TNFAIP8L2","RFX5",4,"TNFAIP8L2-RFX5<br />0.3797"
"TPM3","RFX5",1,"TPM3-RFX5<br />0.1029"
"SV2A","SELENBP1",3,"SV2A-SELENBP1<br />0.3166"
"TMOD4","SELENBP1",3,"TMOD4-SELENBP1<br />0.3022"
"TNFAIP8L2","SELENBP1",4,"TNFAIP8L2-SELENBP1<br />0.4236"
"TPM3","SELENBP1",2,"TPM3-SELENBP1<br />0.2354"
"TMOD4","SV2A",3,"TMOD4-SV2A<br />0.2859"
"TNFAIP8L2","SV2A",3,"TNFAIP8L2-SV2A<br />0.3297"
"TPM3","SV2A",2,"TPM3-SV2A<br />0.176"
"TNFAIP8L2","TMOD4",3,"TNFAIP8L2-TMOD4<br />0.2668"
"TPM3","TMOD4",2,"TPM3-TMOD4<br />0.1594"
"TPM3","TNFAIP8L2",2,"TPM3-TNFAIP8L2<br />0.1708"
"ANO1","ALDH3B2",2,"ANO1-ALDH3B2<br />0.2215"
"ATG16L2","ALDH3B2",2,"ATG16L2-ALDH3B2<br />0.2493"
"BBS1","ALDH3B2",4,"BBS1-ALDH3B2<br />0.3505"
"BRMS1","ALDH3B2",2,"BRMS1-ALDH3B2<br />0.2464"
"CABP4","ALDH3B2",2,"CABP4-ALDH3B2<br />0.2252"
"CCDC36","ALDH3B2",2,"CCDC36-ALDH3B2<br />0.2073"
"CNIH2","ALDH3B2",3,"CNIH2-ALDH3B2<br />0.2997"
"CPT1A","ALDH3B2",3,"CPT1A-ALDH3B2<br />0.3443"
"GAL","ALDH3B2",4,"GAL-ALDH3B2<br />0.3688"
"GSTP1","ALDH3B2",3,"GSTP1-ALDH3B2<br />0.3365"
"KLC2","ALDH3B2",3,"KLC2-ALDH3B2<br />0.2564"
"KMT5B","ALDH3B2",2,"KMT5B-ALDH3B2<br />0.2118"
"NPAS4","ALDH3B2",2,"NPAS4-ALDH3B2<br />0.2374"
"PC","ALDH3B2",2,"PC-ALDH3B2<br />0.2497"
"PITPNM1","ALDH3B2",4,"PITPNM1-ALDH3B2<br />0.3771"
"PPP1CA","ALDH3B2",2,"PPP1CA-ALDH3B2<br />0.1764"
"RHOD","ALDH3B2",2,"RHOD-ALDH3B2<br />0.1888"
"SOWAHB","ALDH3B2",1,"SOWAHB-ALDH3B2<br />0.1051"
"SYT12","ALDH3B2",3,"SYT12-ALDH3B2<br />0.343"
"TBX10","ALDH3B2",3,"TBX10-ALDH3B2<br />0.3362"
"TESMIN","ALDH3B2",2,"TESMIN-ALDH3B2<br />0.217"
"VSTM5","ALDH3B2",2,"VSTM5-ALDH3B2<br />0.1944"
"ATG16L2","ANO1",2,"ATG16L2-ANO1<br />0.1595"
"BBS1","ANO1",2,"BBS1-ANO1<br />0.1848"
"BRMS1","ANO1",2,"BRMS1-ANO1<br />0.2427"
"CABP4","ANO1",2,"CABP4-ANO1<br />0.1964"
"CCDC36","ANO1",2,"CCDC36-ANO1<br />0.1724"
"CNIH2","ANO1",3,"CNIH2-ANO1<br />0.3048"
"CPT1A","ANO1",3,"CPT1A-ANO1<br />0.2729"
"GAL","ANO1",2,"GAL-ANO1<br />0.1559"
"GSTP1","ANO1",2,"GSTP1-ANO1<br />0.235"
"KLC2","ANO1",2,"KLC2-ANO1<br />0.2132"
"KMT5B","ANO1",1,"KMT5B-ANO1<br />0.1075"
"NPAS4","ANO1",3,"NPAS4-ANO1<br />0.2791"
"PC","ANO1",2,"PC-ANO1<br />0.2425"
"PITPNM1","ANO1",2,"PITPNM1-ANO1<br />0.2367"
"PPP1CA","ANO1",1,"PPP1CA-ANO1<br />0.1294"
"RHOD","ANO1",2,"RHOD-ANO1<br />0.2184"
"SOWAHB","ANO1",1,"SOWAHB-ANO1<br />0.1045"
"SYT12","ANO1",3,"SYT12-ANO1<br />0.3343"
"TBX10","ANO1",3,"TBX10-ANO1<br />0.3176"
"TESMIN","ANO1",2,"TESMIN-ANO1<br />0.2313"
"VSTM5","ANO1",1,"VSTM5-ANO1<br />0.1495"
"BBS1","ATG16L2",1,"BBS1-ATG16L2<br />0.138"
"BRMS1","ATG16L2",1,"BRMS1-ATG16L2<br />0.1207"
"CNIH2","ATG16L2",2,"CNIH2-ATG16L2<br />0.1908"
"CPT1A","ATG16L2",1,"CPT1A-ATG16L2<br />0.116"
"GAB2","ATG16L2",1,"GAB2-ATG16L2<br />0.1115"
"GAL","ATG16L2",2,"GAL-ATG16L2<br />0.1825"
"GSTP1","ATG16L2",1,"GSTP1-ATG16L2<br />0.1066"
"KLC2","ATG16L2",2,"KLC2-ATG16L2<br />0.1678"
"NPAS4","ATG16L2",1,"NPAS4-ATG16L2<br />0.1237"
"PC","ATG16L2",2,"PC-ATG16L2<br />0.1524"
"PITPNM1","ATG16L2",1,"PITPNM1-ATG16L2<br />0.1438"
"SYT12","ATG16L2",1,"SYT12-ATG16L2<br />0.1393"
"TBX10","ATG16L2",2,"TBX10-ATG16L2<br />0.1946"
"TESMIN","ATG16L2",1,"TESMIN-ATG16L2<br />0.1223"
"VSTM5","ATG16L2",1,"VSTM5-ATG16L2<br />0.1221"
"BRMS1","BBS1",4,"BRMS1-BBS1<br />0.3692"
"CABP4","BBS1",3,"CABP4-BBS1<br />0.2502"
"CCDC36","BBS1",3,"CCDC36-BBS1<br />0.2904"
"CNIH2","BBS1",3,"CNIH2-BBS1<br />0.3459"
"CPT1A","BBS1",4,"CPT1A-BBS1<br />0.4428"
"GAB2","BBS1",2,"GAB2-BBS1<br />0.1983"
"GAL","BBS1",3,"GAL-BBS1<br />0.3476"
"GSTP1","BBS1",3,"GSTP1-BBS1<br />0.3349"
"KLC2","BBS1",4,"KLC2-BBS1<br />0.4416"
"KMT5B","BBS1",3,"KMT5B-BBS1<br />0.3069"
"NPAS4","BBS1",5,"NPAS4-BBS1<br />0.4643"
"PC","BBS1",3,"PC-BBS1<br />0.3227"
"PITPNM1","BBS1",4,"PITPNM1-BBS1<br />0.3777"
"PPP1CA","BBS1",2,"PPP1CA-BBS1<br />0.2284"
"RHOD","BBS1",3,"RHOD-BBS1<br />0.3328"
"SOWAHB","BBS1",2,"SOWAHB-BBS1<br />0.1635"
"SYT12","BBS1",4,"SYT12-BBS1<br />0.4012"
"TBX10","BBS1",4,"TBX10-BBS1<br />0.4321"
"TESMIN","BBS1",4,"TESMIN-BBS1<br />0.3818"
"VSTM5","BBS1",2,"VSTM5-BBS1<br />0.2313"
"CABP4","BRMS1",2,"CABP4-BRMS1<br />0.2266"
"CCDC36","BRMS1",2,"CCDC36-BRMS1<br />0.2303"
"CNIH2","BRMS1",4,"CNIH2-BRMS1<br />0.3684"
"CPT1A","BRMS1",2,"CPT1A-BRMS1<br />0.2448"
"GAB2","BRMS1",1,"GAB2-BRMS1<br />0.1225"
"GAL","BRMS1",3,"GAL-BRMS1<br />0.2562"
"GSTP1","BRMS1",4,"GSTP1-BRMS1<br />0.361"
"KLC2","BRMS1",3,"KLC2-BRMS1<br />0.3093"
"KMT5B","BRMS1",1,"KMT5B-BRMS1<br />0.1391"
"NPAS4","BRMS1",4,"NPAS4-BRMS1<br />0.3828"
"PC","BRMS1",4,"PC-BRMS1<br />0.4225"
"PITPNM1","BRMS1",3,"PITPNM1-BRMS1<br />0.272"
"PPP1CA","BRMS1",2,"PPP1CA-BRMS1<br />0.1999"
"RHOD","BRMS1",2,"RHOD-BRMS1<br />0.2438"
"SOWAHB","BRMS1",1,"SOWAHB-BRMS1<br />0.1418"
"SYT12","BRMS1",3,"SYT12-BRMS1<br />0.326"
"TBX10","BRMS1",3,"TBX10-BRMS1<br />0.3011"
"TESMIN","BRMS1",3,"TESMIN-BRMS1<br />0.2704"
"VSTM5","BRMS1",2,"VSTM5-BRMS1<br />0.167"
"CCDC36","CABP4",2,"CCDC36-CABP4<br />0.1563"
"CNIH2","CABP4",3,"CNIH2-CABP4<br />0.3235"
"CPT1A","CABP4",2,"CPT1A-CABP4<br />0.2316"
"GAL","CABP4",3,"GAL-CABP4<br />0.2622"
"GSTP1","CABP4",2,"GSTP1-CABP4<br />0.2132"
"KLC2","CABP4",3,"KLC2-CABP4<br />0.2606"
"KMT5B","CABP4",2,"KMT5B-CABP4<br />0.1652"
"NPAS4","CABP4",3,"NPAS4-CABP4<br />0.3405"
"PC","CABP4",2,"PC-CABP4<br />0.245"
"PITPNM1","CABP4",3,"PITPNM1-CABP4<br />0.2824"
"PPP1CA","CABP4",2,"PPP1CA-CABP4<br />0.1835"
"RHOD","CABP4",3,"RHOD-CABP4<br />0.3207"
"SOWAHB","CABP4",1,"SOWAHB-CABP4<br />0.1343"
"SYT12","CABP4",3,"SYT12-CABP4<br />0.3154"
"TBX10","CABP4",4,"TBX10-CABP4<br />0.3702"
"TESMIN","CABP4",2,"TESMIN-CABP4<br />0.247"
"VSTM5","CABP4",3,"VSTM5-CABP4<br />0.2551"
"CNIH2","CCDC36",2,"CNIH2-CCDC36<br />0.1647"
"CPT1A","CCDC36",3,"CPT1A-CCDC36<br />0.2972"
"GAL","CCDC36",2,"GAL-CCDC36<br />0.1584"
"GSTP1","CCDC36",2,"GSTP1-CCDC36<br />0.2124"
"KLC2","CCDC36",3,"KLC2-CCDC36<br />0.3003"
"KMT5B","CCDC36",2,"KMT5B-CCDC36<br />0.2068"
"NPAS4","CCDC36",2,"NPAS4-CCDC36<br />0.2061"
"PC","CCDC36",2,"PC-CCDC36<br />0.1823"
"PITPNM1","CCDC36",3,"PITPNM1-CCDC36<br />0.3268"
"PPP1CA","CCDC36",1,"PPP1CA-CCDC36<br />0.1398"
"RHOD","CCDC36",2,"RHOD-CCDC36<br />0.1766"
"SYT12","CCDC36",2,"SYT12-CCDC36<br />0.2427"
"TBX10","CCDC36",2,"TBX10-CCDC36<br />0.2345"
"TESMIN","CCDC36",3,"TESMIN-CCDC36<br />0.3232"
"CPT1A","CNIH2",4,"CPT1A-CNIH2<br />0.4072"
"GAL","CNIH2",4,"GAL-CNIH2<br />0.3506"
"GSTP1","CNIH2",3,"GSTP1-CNIH2<br />0.332"
"KLC2","CNIH2",4,"KLC2-CNIH2<br />0.4243"
"KMT5B","CNIH2",2,"KMT5B-CNIH2<br />0.19"
"NPAS4","CNIH2",4,"NPAS4-CNIH2<br />0.3986"
"PC","CNIH2",4,"PC-CNIH2<br />0.3584"
"PITPNM1","CNIH2",4,"PITPNM1-CNIH2<br />0.4187"
"PPP1CA","CNIH2",3,"PPP1CA-CNIH2<br />0.3427"
"RHOD","CNIH2",3,"RHOD-CNIH2<br />0.2767"
"SOWAHB","CNIH2",1,"SOWAHB-CNIH2<br />0.1137"
"SYT12","CNIH2",4,"SYT12-CNIH2<br />0.4133"
"TBX10","CNIH2",4,"TBX10-CNIH2<br />0.41"
"TESMIN","CNIH2",3,"TESMIN-CNIH2<br />0.3244"
"VSTM5","CNIH2",2,"VSTM5-CNIH2<br />0.2412"
"GAB2","CPT1A",1,"GAB2-CPT1A<br />0.1013"
"GAL","CPT1A",4,"GAL-CPT1A<br />0.3962"
"GSTP1","CPT1A",3,"GSTP1-CPT1A<br />0.3055"
"KLC2","CPT1A",3,"KLC2-CPT1A<br />0.3461"
"KMT5B","CPT1A",3,"KMT5B-CPT1A<br />0.2668"
"NPAS4","CPT1A",4,"NPAS4-CPT1A<br />0.3824"
"PC","CPT1A",3,"PC-CPT1A<br />0.2937"
"PITPNM1","CPT1A",4,"PITPNM1-CPT1A<br />0.3833"
"PPP1CA","CPT1A",2,"PPP1CA-CPT1A<br />0.2422"
"RHOD","CPT1A",3,"RHOD-CPT1A<br />0.3049"
"SYT12","CPT1A",4,"SYT12-CPT1A<br />0.4331"
"TBX10","CPT1A",3,"TBX10-CPT1A<br />0.3484"
"TESMIN","CPT1A",4,"TESMIN-CPT1A<br />0.4336"
"VSTM5","CPT1A",3,"VSTM5-CPT1A<br />0.276"
"GAL","GAB2",1,"GAL-GAB2<br />0.1205"
"KLC2","GAB2",1,"KLC2-GAB2<br />0.1149"
"NPAS4","GAB2",1,"NPAS4-GAB2<br />0.1129"
"PITPNM1","GAB2",1,"PITPNM1-GAB2<br />0.1371"
"PPP1CA","GAB2",1,"PPP1CA-GAB2<br />0.1308"
"RHOD","GAB2",1,"RHOD-GAB2<br />0.1104"
"TBX10","GAB2",1,"TBX10-GAB2<br />0.1302"
"TESMIN","GAB2",1,"TESMIN-GAB2<br />0.142"
"VSTM5","GAB2",2,"VSTM5-GAB2<br />0.2007"
"GSTP1","GAL",3,"GSTP1-GAL<br />0.3051"
"KLC2","GAL",3,"KLC2-GAL<br />0.3086"
"KMT5B","GAL",2,"KMT5B-GAL<br />0.2331"
"NPAS4","GAL",3,"NPAS4-GAL<br />0.3051"
"PC","GAL",3,"PC-GAL<br />0.2656"
"PITPNM1","GAL",3,"PITPNM1-GAL<br />0.3449"
"PPP1CA","GAL",2,"PPP1CA-GAL<br />0.2286"
"RHOD","GAL",2,"RHOD-GAL<br />0.2267"
"SYT12","GAL",3,"SYT12-GAL<br />0.3399"
"TBX10","GAL",3,"TBX10-GAL<br />0.3029"
"TESMIN","GAL",4,"TESMIN-GAL<br />0.3667"
"VSTM5","GAL",3,"VSTM5-GAL<br />0.3023"
"KLC2","GSTP1",3,"KLC2-GSTP1<br />0.3213"
"KMT5B","GSTP1",2,"KMT5B-GSTP1<br />0.2262"
"NPAS4","GSTP1",3,"NPAS4-GSTP1<br />0.2534"
"PC","GSTP1",3,"PC-GSTP1<br />0.3219"
"PITPNM1","GSTP1",3,"PITPNM1-GSTP1<br />0.3274"
"PPP1CA","GSTP1",2,"PPP1CA-GSTP1<br />0.2272"
"RHOD","GSTP1",2,"RHOD-GSTP1<br />0.2484"
"SOWAHB","GSTP1",1,"SOWAHB-GSTP1<br />0.1431"
"SYT12","GSTP1",3,"SYT12-GSTP1<br />0.2584"
"TBX10","GSTP1",3,"TBX10-GSTP1<br />0.3071"
"TESMIN","GSTP1",4,"TESMIN-GSTP1<br />0.3528"
"VSTM5","GSTP1",1,"VSTM5-GSTP1<br />0.1489"
"KMT5B","KLC2",2,"KMT5B-KLC2<br />0.1657"
"NPAS4","KLC2",3,"NPAS4-KLC2<br />0.3321"
"PC","KLC2",4,"PC-KLC2<br />0.4146"
"PITPNM1","KLC2",4,"PITPNM1-KLC2<br />0.4001"
"PPP1CA","KLC2",2,"PPP1CA-KLC2<br />0.2336"
"RHOD","KLC2",3,"RHOD-KLC2<br />0.3162"
"SOWAHB","KLC2",2,"SOWAHB-KLC2<br />0.1896"
"SYT12","KLC2",3,"SYT12-KLC2<br />0.3077"
"TBX10","KLC2",4,"TBX10-KLC2<br />0.3616"
"TESMIN","KLC2",3,"TESMIN-KLC2<br />0.2543"
"VSTM5","KLC2",2,"VSTM5-KLC2<br />0.1725"
"NPAS4","KMT5B",2,"NPAS4-KMT5B<br />0.1867"
"PC","KMT5B",2,"PC-KMT5B<br />0.1555"
"PITPNM1","KMT5B",3,"PITPNM1-KMT5B<br />0.2644"
"PPP1CA","KMT5B",2,"PPP1CA-KMT5B<br />0.2153"
"RHOD","KMT5B",1,"RHOD-KMT5B<br />0.1077"
"SYT12","KMT5B",1,"SYT12-KMT5B<br />0.1421"
"TBX10","KMT5B",2,"TBX10-KMT5B<br />0.2293"
"TESMIN","KMT5B",3,"TESMIN-KMT5B<br />0.2624"
"VSTM5","KMT5B",1,"VSTM5-KMT5B<br />0.1192"
"PC","NPAS4",4,"PC-NPAS4<br />0.3878"
"PITPNM1","NPAS4",4,"PITPNM1-NPAS4<br />0.4078"
"PPP1CA","NPAS4",3,"PPP1CA-NPAS4<br />0.2734"
"RHOD","NPAS4",4,"RHOD-NPAS4<br />0.3507"
"SOWAHB","NPAS4",2,"SOWAHB-NPAS4<br />0.2279"
"SYT12","NPAS4",4,"SYT12-NPAS4<br />0.4394"
"TBX10","NPAS4",5,"TBX10-NPAS4<br />0.4562"
"TESMIN","NPAS4",3,"TESMIN-NPAS4<br />0.2806"
"VSTM5","NPAS4",2,"VSTM5-NPAS4<br />0.1722"
"PITPNM1","PC",3,"PITPNM1-PC<br />0.3038"
"PPP1CA","PC",2,"PPP1CA-PC<br />0.1744"
"RHOD","PC",4,"RHOD-PC<br />0.3568"
"SOWAHB","PC",1,"SOWAHB-PC<br />0.1454"
"SYT12","PC",4,"SYT12-PC<br />0.4048"
"TBX10","PC",3,"TBX10-PC<br />0.3454"
"TESMIN","PC",3,"TESMIN-PC<br />0.2783"
"VSTM5","PC",2,"VSTM5-PC<br />0.2024"
"PPP1CA","PITPNM1",3,"PPP1CA-PITPNM1<br />0.332"
"RHOD","PITPNM1",3,"RHOD-PITPNM1<br />0.3407"
"SOWAHB","PITPNM1",2,"SOWAHB-PITPNM1<br />0.1642"
"SYT12","PITPNM1",4,"SYT12-PITPNM1<br />0.4022"
"TBX10","PITPNM1",4,"TBX10-PITPNM1<br />0.4198"
"TESMIN","PITPNM1",3,"TESMIN-PITPNM1<br />0.285"
"VSTM5","PITPNM1",2,"VSTM5-PITPNM1<br />0.2378"
"RHOD","PPP1CA",2,"RHOD-PPP1CA<br />0.194"
"SYT12","PPP1CA",2,"SYT12-PPP1CA<br />0.2484"
"TBX10","PPP1CA",3,"TBX10-PPP1CA<br />0.297"
"TESMIN","PPP1CA",2,"TESMIN-PPP1CA<br />0.2348"
"SYT12","RHOD",4,"SYT12-RHOD<br />0.4096"
"TBX10","RHOD",3,"TBX10-RHOD<br />0.2844"
"TESMIN","RHOD",3,"TESMIN-RHOD<br />0.3411"
"VSTM5","RHOD",1,"VSTM5-RHOD<br />0.1373"
"SYT12","SOWAHB",1,"SYT12-SOWAHB<br />0.1182"
"TBX10","SOWAHB",1,"TBX10-SOWAHB<br />0.1488"
"TBX10","SYT12",4,"TBX10-SYT12<br />0.431"
"TESMIN","SYT12",4,"TESMIN-SYT12<br />0.359"
"VSTM5","SYT12",2,"VSTM5-SYT12<br />0.2311"
"TESMIN","TBX10",4,"TESMIN-TBX10<br />0.4273"
"VSTM5","TBX10",2,"VSTM5-TBX10<br />0.1585"
"VSTM5","TESMIN",1,"VSTM5-TESMIN<br />0.1449"
"IBA57","CHCHD1",2,"IBA57-CHCHD1<br />0.2229"
"ISCA2","CHCHD1",3,"ISCA2-CHCHD1<br />0.3479"
"MTO1","CHCHD1",3,"MTO1-CHCHD1<br />0.2573"
"NDUFA6","CHCHD1",4,"NDUFA6-CHCHD1<br />0.4075"
"NDUFA8","CHCHD1",4,"NDUFA8-CHCHD1<br />0.378"
"NDUFAF1","CHCHD1",3,"NDUFAF1-CHCHD1<br />0.3419"
"NDUFB10","CHCHD1",4,"NDUFB10-CHCHD1<br />0.4154"
"NDUFB4","CHCHD1",3,"NDUFB4-CHCHD1<br />0.3406"
"NDUFB5","CHCHD1",3,"NDUFB5-CHCHD1<br />0.3057"
"NDUFB7","CHCHD1",3,"NDUFB7-CHCHD1<br />0.2946"
"NDUFB9","CHCHD1",4,"NDUFB9-CHCHD1<br />0.3589"
"NDUFC1","CHCHD1",4,"NDUFC1-CHCHD1<br />0.4306"
"NDUFC2","CHCHD1",4,"NDUFC2-CHCHD1<br />0.4339"
"NDUFS2","CHCHD1",4,"NDUFS2-CHCHD1<br />0.3789"
"NDUFS3","CHCHD1",2,"NDUFS3-CHCHD1<br />0.2467"
"NDUFS7","CHCHD1",3,"NDUFS7-CHCHD1<br />0.3284"
"NDUFS8","CHCHD1",4,"NDUFS8-CHCHD1<br />0.434"
"NDUFV1","CHCHD1",3,"NDUFV1-CHCHD1<br />0.3138"
"NDUFV2","CHCHD1",4,"NDUFV2-CHCHD1<br />0.3774"
"PDSS2","CHCHD1",2,"PDSS2-CHCHD1<br />0.1913"
"RTN4IP1","CHCHD1",3,"RTN4IP1-CHCHD1<br />0.2522"
"TIMMDC1","CHCHD1",4,"TIMMDC1-CHCHD1<br />0.3975"
"ISCA2","IBA57",6,"ISCA2-IBA57<br />0.5507"
"MTO1","IBA57",3,"MTO1-IBA57<br />0.3088"
"NDUFA6","IBA57",5,"NDUFA6-IBA57<br />0.4862"
"NDUFA8","IBA57",5,"NDUFA8-IBA57<br />0.5385"
"NDUFAF1","IBA57",5,"NDUFAF1-IBA57<br />0.4965"
"NDUFB10","IBA57",5,"NDUFB10-IBA57<br />0.4925"
"NDUFB4","IBA57",5,"NDUFB4-IBA57<br />0.4688"
"NDUFB5","IBA57",4,"NDUFB5-IBA57<br />0.4419"
"NDUFB7","IBA57",5,"NDUFB7-IBA57<br />0.4704"
"NDUFB9","IBA57",5,"NDUFB9-IBA57<br />0.4804"
"NDUFC1","IBA57",5,"NDUFC1-IBA57<br />0.4961"
"NDUFC2","IBA57",5,"NDUFC2-IBA57<br />0.4756"
"NDUFS2","IBA57",5,"NDUFS2-IBA57<br />0.5285"
"NDUFS3","IBA57",3,"NDUFS3-IBA57<br />0.3086"
"NDUFS7","IBA57",5,"NDUFS7-IBA57<br />0.4876"
"NDUFS8","IBA57",6,"NDUFS8-IBA57<br />0.5704"
"NDUFV1","IBA57",4,"NDUFV1-IBA57<br />0.4235"
"NDUFV2","IBA57",5,"NDUFV2-IBA57<br />0.4959"
"PDSS2","IBA57",4,"PDSS2-IBA57<br />0.3774"
"RTN4IP1","IBA57",4,"RTN4IP1-IBA57<br />0.4372"
"TIMMDC1","IBA57",5,"TIMMDC1-IBA57<br />0.5093"
"MTO1","ISCA2",3,"MTO1-ISCA2<br />0.3098"
"NDUFA6","ISCA2",6,"NDUFA6-ISCA2<br />0.6041"
"NDUFA8","ISCA2",6,"NDUFA8-ISCA2<br />0.5588"
"NDUFAF1","ISCA2",5,"NDUFAF1-ISCA2<br />0.5257"
"NDUFB10","ISCA2",6,"NDUFB10-ISCA2<br />0.5842"
"NDUFB4","ISCA2",5,"NDUFB4-ISCA2<br />0.507"
"NDUFB5","ISCA2",5,"NDUFB5-ISCA2<br />0.5049"
"NDUFB7","ISCA2",5,"NDUFB7-ISCA2<br />0.4539"
"NDUFB9","ISCA2",6,"NDUFB9-ISCA2<br />0.5678"
"NDUFC1","ISCA2",6,"NDUFC1-ISCA2<br />0.5971"
"NDUFC2","ISCA2",6,"NDUFC2-ISCA2<br />0.6131"
"NDUFS2","ISCA2",6,"NDUFS2-ISCA2<br />0.5614"
"NDUFS3","ISCA2",4,"NDUFS3-ISCA2<br />0.4041"
"NDUFS7","ISCA2",5,"NDUFS7-ISCA2<br />0.503"
"NDUFS8","ISCA2",6,"NDUFS8-ISCA2<br />0.5961"
"NDUFV1","ISCA2",4,"NDUFV1-ISCA2<br />0.4065"
"NDUFV2","ISCA2",6,"NDUFV2-ISCA2<br />0.6231"
"PDSS2","ISCA2",4,"PDSS2-ISCA2<br />0.3918"
"RTN4IP1","ISCA2",4,"RTN4IP1-ISCA2<br />0.3699"
"TIMMDC1","ISCA2",6,"TIMMDC1-ISCA2<br />0.5899"
"NDUFA6","MTO1",5,"NDUFA6-MTO1<br />0.4541"
"NDUFA8","MTO1",4,"NDUFA8-MTO1<br />0.4068"
"NDUFAF1","MTO1",4,"NDUFAF1-MTO1<br />0.4212"
"NDUFB10","MTO1",4,"NDUFB10-MTO1<br />0.4336"
"NDUFB4","MTO1",4,"NDUFB4-MTO1<br />0.439"
"NDUFB5","MTO1",4,"NDUFB5-MTO1<br />0.3939"
"NDUFB7","MTO1",3,"NDUFB7-MTO1<br />0.3286"
"NDUFB9","MTO1",4,"NDUFB9-MTO1<br />0.4262"
"NDUFC1","MTO1",5,"NDUFC1-MTO1<br />0.4851"
"NDUFC2","MTO1",4,"NDUFC2-MTO1<br />0.4279"
"NDUFS2","MTO1",4,"NDUFS2-MTO1<br />0.4412"
"NDUFS3","MTO1",3,"NDUFS3-MTO1<br />0.3415"
"NDUFS7","MTO1",3,"NDUFS7-MTO1<br />0.3179"
"NDUFS8","MTO1",4,"NDUFS8-MTO1<br />0.4371"
"NDUFV1","MTO1",3,"NDUFV1-MTO1<br />0.3397"
"NDUFV2","MTO1",4,"NDUFV2-MTO1<br />0.3842"
"PDSS2","MTO1",4,"PDSS2-MTO1<br />0.3733"
"RTN4IP1","MTO1",4,"RTN4IP1-MTO1<br />0.4232"
"TIMMDC1","MTO1",5,"TIMMDC1-MTO1<br />0.4705"
"NDUFA8","NDUFA6",7,"NDUFA8-NDUFA6<br />0.7213"
"NDUFAF1","NDUFA6",6,"NDUFAF1-NDUFA6<br />0.5959"
"NDUFB10","NDUFA6",7,"NDUFB10-NDUFA6<br />0.7334"
"NDUFB4","NDUFA6",6,"NDUFB4-NDUFA6<br />0.6367"
"NDUFB5","NDUFA6",6,"NDUFB5-NDUFA6<br />0.6119"
"NDUFB7","NDUFA6",6,"NDUFB7-NDUFA6<br />0.5626"
"NDUFB9","NDUFA6",6,"NDUFB9-NDUFA6<br />0.6368"
"NDUFC1","NDUFA6",8,"NDUFC1-NDUFA6<br />0.7626"
"NDUFC2","NDUFA6",7,"NDUFC2-NDUFA6<br />0.7322"
"NDUFS2","NDUFA6",7,"NDUFS2-NDUFA6<br />0.6718"
"NDUFS3","NDUFA6",4,"NDUFS3-NDUFA6<br />0.4354"
"NDUFS7","NDUFA6",6,"NDUFS7-NDUFA6<br />0.5893"
"NDUFS8","NDUFA6",7,"NDUFS8-NDUFA6<br />0.7218"
"NDUFV1","NDUFA6",5,"NDUFV1-NDUFA6<br />0.5112"
"NDUFV2","NDUFA6",7,"NDUFV2-NDUFA6<br />0.7309"
"PDSS2","NDUFA6",5,"PDSS2-NDUFA6<br />0.4569"
"RTN4IP1","NDUFA6",5,"RTN4IP1-NDUFA6<br />0.486"
"TIMMDC1","NDUFA6",7,"TIMMDC1-NDUFA6<br />0.6533"
"NDUFAF1","NDUFA8",6,"NDUFAF1-NDUFA8<br />0.6423"
"NDUFB10","NDUFA8",8,"NDUFB10-NDUFA8<br />0.7876"
"NDUFB4","NDUFA8",7,"NDUFB4-NDUFA8<br />0.7067"
"NDUFB5","NDUFA8",7,"NDUFB5-NDUFA8<br />0.6819"
"NDUFB7","NDUFA8",7,"NDUFB7-NDUFA8<br />0.6539"
"NDUFB9","NDUFA8",7,"NDUFB9-NDUFA8<br />0.7216"
"NDUFC1","NDUFA8",8,"NDUFC1-NDUFA8<br />0.7869"
"NDUFC2","NDUFA8",8,"NDUFC2-NDUFA8<br />0.7751"
"NDUFS2","NDUFA8",8,"NDUFS2-NDUFA8<br />0.7774"
"NDUFS3","NDUFA8",5,"NDUFS3-NDUFA8<br />0.4755"
